species,height,agbiomass
AGRcap,19.83717949,1.90824359
AMPflu,11.66744186,1.198186047
ANTodo,20.57073171,7.85695
CARgau,10.2375,0.31675
ELAacu,27.56436782,3.557471264
ELApus,3.223529412,0.033941176
EPIang,4.753333333,0.5736
GALper,4.648387097,0.095354839
JUNart,13.19,3.179766667
LACstr,5.53,0.467333333
LEUfra,3.834375,0.5486875
LILrut,3.764516129,0.116548387
LOBper,1.86969697,0.144636364
PARcan,2.51,0.106133333
PILoff,2.4975,0.471675
