Trait,Rank,distance
Root aerenchyma,1,2.21
SLA,2,2.17
RDMC,3,2.11
Height,4,1.99
AGDMC,5,1.96
LDMC,6,1.93
RBI,7,1.91
RTD,8,1.87
SRL,9,1.85
